session_id;answered_at;attempt_order;italian_word;clue_language;clue;user_answer;is_correct;error_type;error_type_tr;similarity_score;confused_with;task_attempt_number;is_first_try_correct;source_file
20260720_140727;2026-07-20 14:17:49;41;Fare;İngilizce;To do/ to make;fare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:18:10;42;Cortese;Türkçe;Kibar/Nazik;cortese;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:18:17;43;Dovere;Türkçe;Zorunda olmak;dovere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:18:21;44;Vita;Türkçe;Hayat;vita;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:18:25;45;Andare;Türkçe;Gitmek;andare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:18:29;46;Corso;İngilizce;Course / Class;corso;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:18:33;47;Vivere;İngilizce;To live;vivere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:18:36;48;Parlare;İngilizce;To speak;parlare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:18:44;49;Mezzo di trasporto;Türkçe;Ulaşım Aracı;mezzo di trasporta;False;spelling_error;Yazım hatası;0.944;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:18:55;50;Anno;Türkçe;Yıl;anno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:19:03;51;Dormire;Türkçe;Uyumak;dormire;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:19:17;52;Potere;Türkçe;Yapabilmek;potere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:19:21;53;Felice;Türkçe;Mutlu;felice;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:19:26;54;Domani;İngilizce;Tomorrow;domani;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:19:31;55;Vita;İngilizce;Life;vita;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:19:44;56;Fare;Türkçe;Yapmak;fare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:19:49;57;Qualcosa;İngilizce;Something;qualcosa;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:19:52;58;Ieri;İngilizce;Yesterday;ieri;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:20:09;59;Azione;Türkçe;Aksiyon;azione;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:20:13;60;Strada;İngilizce;Road / Street / Way;strada;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:20:20;61;Trovare;Türkçe;Bulmak;trovare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:20:32;62;Prendere;İngilizce;To take/to get;prendere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:20:41;63;Tra/Fra due anni;Türkçe;İki yıl sonra;Tra/Fra due anni;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:20:45;64;Sogno;İngilizce;Dream;sogno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:20:49;65;Tempo;Türkçe;Zaman;tempo;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:20:56;66;Assenza;İngilizce;Absence;assenza;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:21:00;67;Avere;İngilizce;To have;avere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:21:04;68;Settimana;İngilizce;Week;settimana;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:21:11;69;Facile;Türkçe;Kolay;facile;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:21:14;70;Senza;Türkçe;-Sız/ -siz;senza;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:21:18;71;Vorrei;İngilizce;I’d like;vorrei;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:21:29;72;Dopo;İngilizce;After/Later;dopo;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:21:34;73;Sapere;İngilizce;To know;sapere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:21:39;74;A Domani;İngilizce;See you tomorrow;a domani;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:21:48;75;Tra/Fra due anni;İngilizce;In two years;Tra/Fra due anni;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:21:53;76;Rendere;İngilizce;To make/To render;rendere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:02;77;Anno;İngilizce;Year;anno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:05;78;Mese;İngilizce;Month;mese;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:09;79;Senza;İngilizce;Without;senza;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:15;80;Cambiare;Türkçe;Değiştirmek / Değişmek;cambiare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:19;81;Fine Settimana;İngilizce;Weekend;fine settimana;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:23;82;Trovare;İngilizce;To find;;False;no_recall;Hatırlayamama / boş cevap;0.0;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:37;83;Giorno;Türkçe;Gün;giorno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:41;84;Difficile;İngilizce;Difficult/Hard;difficile;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:46;85;Prima;Türkçe;Önce/Daha önce;prima;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:49;86;Dopo;Türkçe;Sonra;dopo;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:53;87;Tempo;İngilizce;Time;tempo;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:22:58;88;Azione;İngilizce;Action;azione;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:23:08;89;A Domani;Türkçe;Yarın Görüşürüz;a domani;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:23:14;90;Potere;İngilizce;Can/ to be able to;potere;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:23:17;91;Altro;İngilizce;Other / Another / More;altro;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:23:25;92;Sbagliato;Türkçe;Yanlış / Hatalı;sbagliota;False;spelling_error;Yazım hatası;0.778;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:23:33;93;Ieri;Türkçe;Dün;ieri;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:23:40;94;Bisogno;Türkçe;İhtiyaç;bisogno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:24:14;95;Portare;İngilizce;To bring / To carry / To take;portare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:24:21;96;Strada;Türkçe;Yol / Cadde / Sokak;strada;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:24:25;97;Dormire;İngilizce;To sleep;dormire;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:24:29;98;Trovare;İngilizce;To find;trovare;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:24:33;99;Bisogno;İngilizce;Need;bisogno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:24:44;100;Adesso;Türkçe;Şimdi;adesso;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:24:55;101;Cortese;İngilizce;Polite/ Courteous;cortese;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:24:59;102;Iniziare;Türkçe;Başlamak;iniziare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:25:04;103;Qualcosa;Türkçe;Bir şey;qualcosa;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:25:08;104;Indicare;Türkçe;Göstermek / Belirtmek;indicaree;False;spelling_error;Yazım hatası;0.941;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:25:12;105;Andare;İngilizce;To go;andare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:25:20;106;Settimana;Türkçe;Hafta;settimana;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:25:23;107;Sogno;Türkçe;Hayal;sogno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:25:30;108;Indicare;Türkçe;Göstermek / Belirtmek;indicare;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:25:35;109;Volere;İngilizce;To want;volere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:25:51;110;Portare;Türkçe;Getirmek / Taşımak / Götürmek;portare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:25:54;111;Adesso;İngilizce;Now;adesso;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:26:00;112;Prima;İngilizce;Before/Earlier;prima;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:26:03;113;Essere;Türkçe;Olmak;essere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:26:17;114;Mezzo di trasporto;Türkçe;Ulaşım Aracı;mezzo di trasporta;False;spelling_error;Yazım hatası;0.944;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:26:32;115;Rendere;Türkçe;Hale getirmek;rendere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:26:39;116;Sbagliato;İngilizce;Wrong/Incorrect;sbagliato;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:26:42;117;Giorno;İngilizce;Day;;False;no_recall;Hatırlayamama / boş cevap;0.0;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:26:47;118;Benvenuto;İngilizce;Welcome;benvenuto;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:26:52;119;Sapere;Türkçe;Bilmek;sapere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:26:57;120;Giorno;İngilizce;Day;giorno;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:27:04;121;Mezzo di trasporto;Türkçe;Ulaşım Aracı;mezzo di trasporto;True;correct;Doğru;1.0;;3;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:27:10;122;Sbagliato;Türkçe;Yanlış / Hatalı;sbagliato;True;correct;Doğru;1.0;;3;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:27:33;123;Avere;Türkçe;Sahip olmak;avere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:27:37;124;Ciao;Türkçe;Merhaba;benvenuto;False;confused_with_another_word;Başka kelimeyle karıştırma;0.154;Benvenuto;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:27:48;125;Volere;Türkçe;İstemek;volere;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:27:53;126;Ciao;Türkçe;Merhaba;ciao;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:28:01;127;Mezzo di trasporto;İngilizce;Transportation;mezzo di trasporto;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:28:06;128;Benvenuto;Türkçe;Hoş geldin;benvenuto;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:28:10;129;Oggi;Türkçe;Bugün;oggi;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_142921;2026-07-20 14:29:32;1;Sogno;İngilizce;Dream;sogno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:29:37;2;Dormire;Türkçe;Uyumak;dormire;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:29:42;3;Durante;Türkçe;Sırasında / Boyunca;durante;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:05;4;Trovare;İngilizce;To find;trovare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:12;5;Pensare;Türkçe;Düşünmek;pensare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:17;6;Portare;İngilizce;To bring / To carry / To take;portare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:25;7;Trovare;Türkçe;Bulmak;trovare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:29;8;Bisogno;İngilizce;Need;bisogno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:32;9;Corso;İngilizce;Course / Class;corso;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:36;10;Portare;Türkçe;Getirmek / Taşımak / Götürmek;portare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:39;11;Strada;Türkçe;Yol / Cadde / Sokak;strada;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:42;12;Sogno;Türkçe;Hayal;sogno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:47;13;Bisogno;Türkçe;İhtiyaç;bisogno;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:51;14;Pensare;İngilizce;To think;pensare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:55;15;Presente;İngilizce;Present / Current;presente;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:30:58;16;Altro;İngilizce;Other / Another / More;altro;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:31:01;17;Strada;İngilizce;Road / Street / Way;strada;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:31:04;18;Dormire;İngilizce;To sleep;dormire;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:31:07;19;Durante;İngilizce;During;durante;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:31:12;20;Presente;Türkçe;Mevcut / Şimdiki / Hazır bulunan;presente;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:31:15;21;Corso;Türkçe;Kurs / Ders;corso;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260720_142921;2026-07-20 14:31:18;22;Altro;Türkçe;Başka / Diğer / Bir tane daha;altro;True;correct;Doğru;1.0;;1;True;20.07.2026_14.29.21_attempts.csv
20260721_050552;2026-07-21 05:05:59;1;Potere;İngilizce;Can/ to be able to;potere;True;correct;Doğru;1.0;;1;True;21.07.2026_05.05.52_attempts.csv
20260721_050552;2026-07-21 05:06:03;2;Vorrei;İngilizce;I’d like;vorrei;True;correct;Doğru;1.0;;1;True;21.07.2026_05.05.52_attempts.csv
20260721_050552;2026-07-21 05:06:07;3;Volere;İngilizce;To want;volere;True;correct;Doğru;1.0;;1;True;21.07.2026_05.05.52_attempts.csv
20260721_050552;2026-07-21 05:06:11;4;Tempo;İngilizce;Time;tempo;True;correct;Doğru;1.0;;1;True;21.07.2026_05.05.52_attempts.csv
20260721_050552;2026-07-21 05:06:16;5;Settimana;Türkçe;Hafta;settimana;True;correct;Doğru;1.0;;1;True;21.07.2026_05.05.52_attempts.csv
20260721_050552;2026-07-21 05:06:19;6;Domani;Türkçe;Yarın;domani;True;correct;Doğru;1.0;;1;True;21.07.2026_05.05.52_attempts.csv
20260721_050552;2026-07-21 05:06:23;7;Fare;İngilizce;To do/ to make;fare;True;correct;Doğru;1.0;;1;True;21.07.2026_05.05.52_attempts.csv
